Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome
190,SL 5.2,SL 5.2a,Basic Differentiation Rules,Understanding basic differentiation rules and their applications.,"Students learn about the power rule, constant rule, and sum/difference rules for differentiation, and apply these rules to find derivatives of simple functions.","Learn, understand, apply",Paper 1 (basic differentiation rules),5 / 10,Students should be able to understand and apply basic differentiation rules.
191,SL 5.2,SL 5.2b,Derivatives of Polynomial Functions,Understanding how to find derivatives of polynomial functions.,"Students learn to find derivatives of polynomial functions using the power rule, understand the relationship between degree and derivative, and apply these concepts.","Learn, understand, apply",Paper 1 (polynomial derivatives),5 / 10,Students should be able to find derivatives of polynomial functions.
192,SL 5.2,SL 5.2c,Applications of Basic Differentiation,Applying basic differentiation to solve problems.,"Students learn to apply basic differentiation to solve problems involving rates of change, slopes of curves, and other applications.","Apply, solve, understand",Paper 1 (basic differentiation applications),5 / 10,Students should be able to apply basic differentiation to solve problems.
193,SL 5.3,SL 5.3a,Product and Quotient Rules,Understanding the product and quotient rules for differentiation.,"Students learn about the product rule and quotient rule for differentiation, understand when to apply each rule, and practice using these rules.","Learn, understand, practice",Paper 1 (product quotient rules),6 / 10,Students should be able to understand and apply the product and quotient rules for differentiation.
194,SL 5.3,SL 5.3b,Chain Rule,Understanding the chain rule for differentiation.,"Students learn about the chain rule for differentiation, understand how to identify composite functions, and apply the chain rule to find derivatives.","Learn, understand, apply",Paper 1 (chain rule),6 / 10,Students should be able to understand and apply the chain rule for differentiation.
195,SL 5.3,SL 5.3c,Applications of Advanced Differentiation,Applying advanced differentiation rules to solve problems.,"Students learn to apply the product, quotient, and chain rules to solve problems involving rates of change, optimization, and other applications.","Apply, solve, understand",Paper 1 (advanced differentiation applications),6 / 10,Students should be able to apply advanced differentiation rules to solve problems.
196,SL 5.4,SL 5.4a,Implicit Differentiation,Understanding implicit differentiation and its applications.,"Students learn about implicit differentiation, understand how to find derivatives of implicitly defined functions, and apply this technique to solve problems.","Learn, understand, apply",Paper 1 (implicit differentiation),6 / 10,Students should be able to understand and apply implicit differentiation.
197,SL 5.4,SL 5.4b,Related Rates,Understanding related rates problems and their solutions.,"Students learn about related rates problems, understand how to set up and solve these problems, and apply this technique to real-world situations.","Learn, understand, apply",Paper 1 (related rates),6 / 10,Students should be able to understand and solve related rates problems.
198,SL 5.4,SL 5.4c,Applications of Implicit Differentiation,Applying implicit differentiation to solve complex problems.,"Students learn to apply implicit differentiation to solve complex problems involving curves, optimization, and other applications.","Apply, solve, understand",Paper 1 (implicit differentiation applications),6 / 10,Students should be able to apply implicit differentiation to solve complex problems.
199,SL 5.5,SL 5.5a,Introduction to Integration,Understanding the concept of integration and the integral.,"Students learn about integration as the reverse of differentiation, understand the concept of the integral, and learn basic integration concepts.","Learn, understand, apply",Paper 1 (introduction to integration),5 / 10,Students should be able to understand the concept of integration and the integral.
200,SL 5.5,SL 5.5b,Basic Integration Rules,Understanding basic integration rules and their applications.,"Students learn about the power rule for integration, constant rule, and sum/difference rules for integration, and apply these rules to find integrals of simple functions.","Learn, understand, apply",Paper 1 (basic integration rules),5 / 10,Students should be able to understand and apply basic integration rules.
201,SL 5.5,SL 5.5c,Applications of Basic Integration,Applying basic integration to solve problems.,"Students learn to apply basic integration to solve problems involving area under curves, displacement, and other applications.","Apply, solve, understand",Paper 1 (basic integration applications),5 / 10,Students should be able to apply basic integration to solve problems.
202,SL 5.6,SL 5.6a,Integration by Substitution,Understanding integration by substitution and its applications.,"Students learn about integration by substitution, understand how to identify when to use substitution, and apply this technique to find integrals.","Learn, understand, apply",Paper 1 (integration by substitution),6 / 10,Students should be able to understand and apply integration by substitution.
203,SL 5.6,SL 5.6b,Integration by Parts,Understanding integration by parts and its applications.,"Students learn about integration by parts, understand when to use this technique, and apply it to find integrals of products of functions.","Learn, understand, apply",Paper 1 (integration by parts),6 / 10,Students should be able to understand and apply integration by parts.
204,SL 5.6,SL 5.6c,Applications of Advanced Integration,Applying advanced integration techniques to solve problems.,"Students learn to apply integration by substitution and integration by parts to solve problems involving area, volume, and other applications.","Apply, solve, understand",Paper 1 (advanced integration applications),6 / 10,Students should be able to apply advanced integration techniques to solve problems.
205,SL 5.7,SL 5.7a,Definite Integrals,Understanding definite integrals and their properties.,"Students learn about definite integrals, understand the Fundamental Theorem of Calculus, and learn to evaluate definite integrals.","Learn, understand, evaluate",Paper 1 (definite integrals),6 / 10,Students should be able to understand and evaluate definite integrals.
206,SL 5.7,SL 5.7b,Applications of Definite Integrals,Applying definite integrals to solve problems.,"Students learn to apply definite integrals to solve problems involving area under curves, volume of revolution, and other applications.","Apply, solve, understand",Paper 1 (definite integral applications),6 / 10,Students should be able to apply definite integrals to solve problems.
207,SL 5.7,SL 5.7c,Advanced Applications of Integration,Applying advanced integration concepts to solve complex problems.,"Students learn to apply advanced integration concepts to solve complex problems involving area, volume, work, and other applications.","Apply, solve, understand",Paper 1 (advanced integration applications),6 / 10,Students should be able to apply advanced integration concepts to solve complex problems.
208,SL 5.8,SL 5.8a,Integration Techniques,Understanding various integration techniques and their applications.,"Students learn about different integration techniques, understand when to use each technique, and apply these techniques to solve integration problems.","Learn, understand, apply",Paper 1 (integration techniques),6 / 10,Students should be able to understand and apply various integration techniques.
209,SL 5.8,SL 5.8b,Partial Fractions,Understanding integration using partial fractions.,"Students learn about partial fractions, understand how to decompose rational functions, and apply this technique to integrate rational functions.","Learn, understand, apply",Paper 1 (partial fractions),6 / 10,Students should be able to understand and apply partial fractions for integration.
210,SL 5.8,SL 5.8c,Applications of Integration Techniques,Applying various integration techniques to solve problems.,"Students learn to apply different integration techniques to solve problems involving area, volume, and other applications.","Apply, solve, understand",Paper 1 (integration technique applications),6 / 10,Students should be able to apply various integration techniques to solve problems.
211,SL 5.9,SL 5.9a,Area Under Curves,Understanding how to find area under curves using integration.,"Students learn to find area under curves using definite integrals, understand the relationship between integration and area, and apply this concept to solve problems.","Learn, understand, apply",Paper 1 (area under curves),6 / 10,Students should be able to find area under curves using integration.
212,SL 5.9,SL 5.9b,Volume of Revolution,Understanding how to find volume of revolution using integration.,"Students learn to find volume of revolution using definite integrals, understand different methods (disk and shell), and apply these concepts to solve problems.","Learn, understand, apply",Paper 1 (volume of revolution),6 / 10,Students should be able to find volume of revolution using integration.
213,SL 5.9,SL 5.9c,Applications of Area and Volume,Applying area and volume concepts to solve real-world problems.,"Students learn to apply area and volume concepts to solve real-world problems, understand practical applications, and model real-world situations.","Apply, solve, model",Paper 1 (area volume applications),6 / 10,Students should be able to apply area and volume concepts to solve real-world problems.
214,SL 5.10,SL 5.10a,Integration by Parts,Understanding integration by parts and its applications.,"Students learn about integration by parts, understand when to use this technique, and apply it to find integrals of products of functions.","Learn, understand, apply",Paper 1 (integration by parts),6 / 10,Students should be able to understand and apply integration by parts.
215,SL 5.10,SL 5.10b,Advanced Integration Techniques,Understanding advanced integration techniques and their applications.,"Students learn about advanced integration techniques, understand when to use each technique, and apply these techniques to solve complex integration problems.","Learn, understand, apply",Paper 1 (advanced integration techniques),6 / 10,Students should be able to understand and apply advanced integration techniques.
216,SL 5.10,SL 5.10c,Applications of Advanced Integration,Applying advanced integration techniques to solve complex problems.,"Students learn to apply advanced integration techniques to solve complex problems involving area, volume, work, and other applications.","Apply, solve, understand",Paper 1 (advanced integration applications),6 / 10,Students should be able to apply advanced integration techniques to solve complex problems.
217,AHL 3.17,AHL 3.17a,Advanced Three-Dimensional Geometry,Understanding advanced concepts in three-dimensional geometry.,"Students learn about advanced three-dimensional geometric concepts, including complex spatial relationships, advanced coordinate systems, and geometric transformations in 3D space.","Learn, understand, apply",Paper 1 (advanced 3D geometry),7 / 10,Students should be able to understand and work with advanced three-dimensional geometric concepts.
218,AHL 3.17,AHL 3.17b,Advanced Plane and Line Relationships,Understanding advanced relationships between planes and lines in 3D space.,"Students learn about advanced relationships between planes and lines, including skew lines, parallel planes, and complex intersection problems in three-dimensional space.","Learn, understand, solve",Paper 1 (advanced plane line relationships),7 / 10,Students should be able to understand and solve advanced problems involving planes and lines in 3D space.
219,AHL 3.17,AHL 3.17c,Applications of Advanced 3D Geometry,Applying advanced three-dimensional geometry to solve complex problems.,"Students learn to apply advanced three-dimensional geometry concepts to solve complex problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (advanced 3D applications),7 / 10,Students should be able to apply advanced three-dimensional geometry to solve complex problems.
220,AHL 3.18,AHL 3.18a,Complex Three-Dimensional Problems,Understanding and solving complex three-dimensional geometric problems.,"Students learn to solve complex three-dimensional geometric problems involving multiple planes, lines, and spatial relationships.","Learn, solve, understand",Paper 1 (complex 3D problems),7 / 10,Students should be able to solve complex three-dimensional geometric problems.
221,AHL 3.18,AHL 3.18b,Advanced Spatial Analysis,Understanding advanced spatial analysis techniques in three dimensions.,"Students learn about advanced spatial analysis techniques, including distance calculations, angle measurements, and volume calculations in complex three-dimensional scenarios.","Learn, understand, calculate",Paper 1 (advanced spatial analysis),7 / 10,Students should be able to perform advanced spatial analysis in three dimensions.
222,AHL 3.18,AHL 3.18c,Applications of Complex 3D Geometry,Applying complex three-dimensional geometry to real-world problems.,"Students learn to apply complex three-dimensional geometry concepts to solve real-world problems in architecture, engineering, and other fields.","Apply, solve, model",Paper 1 (complex 3D applications),7 / 10,Students should be able to apply complex three-dimensional geometry to solve real-world problems.
223,SL 5.11,SL 5.11a,Advanced Integration Techniques,Understanding advanced integration techniques and their applications.,"Students learn about advanced integration techniques including trigonometric substitutions, integration of rational functions, and other complex integration methods.","Learn, understand, apply",Paper 1 (advanced integration techniques),6 / 10,Students should be able to understand and apply advanced integration techniques.
224,SL 5.11,SL 5.11b,Definite Integrals and Applications,Understanding definite integrals and their applications to real-world problems.,"Students learn to evaluate complex definite integrals, understand the Fundamental Theorem of Calculus, and apply definite integrals to solve problems involving area, volume, and other applications.","Learn, understand, apply",Paper 1 (definite integrals applications),6 / 10,Students should be able to understand and apply definite integrals to solve problems.
225,SL 5.11,SL 5.11c,Integration Problem Solving,Applying integration techniques to solve complex problems.,"Students learn to apply various integration techniques to solve complex problems, choose appropriate methods, and solve real-world problems using integration.","Apply, choose, solve",Paper 1 (integration problem solving),6 / 10,Students should be able to apply integration techniques to solve complex problems.
226,AHL 5.12,AHL 5.12a,Advanced Limits,Understanding advanced limit concepts and techniques.,"Students learn about advanced limit concepts including L'Hôpital's rule, limits at infinity, and techniques for evaluating complex limits.","Learn, understand, evaluate",Paper 1 (advanced limits),7 / 10,Students should be able to understand and evaluate advanced limits.
227,AHL 5.12,AHL 5.12b,Continuity and Differentiability,Understanding continuity and differentiability in advanced contexts.,"Students learn about continuity and differentiability of complex functions, understand the relationship between continuity and differentiability, and analyze function behavior.","Learn, understand, analyze",Paper 1 (continuity differentiability),7 / 10,Students should be able to understand continuity and differentiability in advanced contexts.
228,AHL 5.12,AHL 5.12c,Advanced Differentiation Concepts,Understanding advanced differentiation concepts and applications.,"Students learn about advanced differentiation concepts including higher-order derivatives, implicit differentiation, and parametric differentiation.","Learn, understand, apply",Paper 1 (advanced differentiation concepts),7 / 10,Students should be able to understand and apply advanced differentiation concepts.
229,AHL 5.13,AHL 5.13a,Advanced Limit Applications,Applying advanced limit concepts to solve complex problems.,"Students learn to apply advanced limit concepts to solve complex problems involving indeterminate forms, asymptotic behavior, and function analysis.","Apply, solve, analyze",Paper 1 (advanced limit applications),7 / 10,Students should be able to apply advanced limit concepts to solve complex problems.
230,AHL 5.13,AHL 5.13b,Series and Sequences,Understanding series and sequences in the context of calculus.,"Students learn about infinite series, convergence tests, and the relationship between series and limits in calculus.","Learn, understand, analyze",Paper 1 (series sequences),7 / 10,Students should be able to understand series and sequences in calculus.
231,AHL 5.13,AHL 5.13c,Advanced Calculus Applications,Applying advanced calculus concepts to solve complex problems.,"Students learn to apply advanced calculus concepts including limits, series, and sequences to solve complex mathematical problems.","Apply, solve, understand",Paper 1 (advanced calculus applications),7 / 10,Students should be able to apply advanced calculus concepts to solve complex problems.
232,AHL 5.14,AHL 5.14a,Advanced Differentiation Rules,Understanding advanced differentiation rules and their applications.,"Students learn about advanced differentiation rules including the chain rule for multiple variables, implicit differentiation, and parametric differentiation.","Learn, understand, apply",Paper 1 (advanced differentiation rules),7 / 10,Students should be able to understand and apply advanced differentiation rules.
233,AHL 5.14,AHL 5.14b,Optimization Problems,Understanding and solving optimization problems using calculus.,"Students learn to solve optimization problems using calculus techniques, understand constraints, and find maximum and minimum values of functions.","Learn, solve, optimize",Paper 1 (optimization problems),7 / 10,Students should be able to solve optimization problems using calculus.
234,AHL 5.14,AHL 5.14c,Advanced Differentiation Applications,Applying advanced differentiation to solve complex problems.,"Students learn to apply advanced differentiation techniques to solve complex problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (advanced differentiation applications),7 / 10,Students should be able to apply advanced differentiation to solve complex problems.
235,AHL 5.15,AHL 5.15a,Advanced Integration Techniques,Understanding advanced integration techniques and their applications.,"Students learn about advanced integration techniques including integration by parts, trigonometric substitutions, and partial fractions for complex functions.","Learn, understand, apply",Paper 1 (advanced integration techniques),7 / 10,Students should be able to understand and apply advanced integration techniques.
236,AHL 5.15,AHL 5.15b,Improper Integrals,Understanding improper integrals and their evaluation.,"Students learn about improper integrals, understand when they converge or diverge, and learn techniques for evaluating improper integrals.","Learn, understand, evaluate",Paper 1 (improper integrals),7 / 10,Students should be able to understand and evaluate improper integrals.
237,AHL 5.15,AHL 5.15c,Advanced Integration Applications,Applying advanced integration to solve complex problems.,"Students learn to apply advanced integration techniques to solve complex problems involving area, volume, work, and other applications.","Apply, solve, understand",Paper 1 (advanced integration applications),7 / 10,Students should be able to apply advanced integration to solve complex problems.
238,AHL 5.16,AHL 5.16a,Advanced Definite Integrals,Understanding advanced concepts in definite integrals.,"Students learn about advanced definite integral concepts including the Fundamental Theorem of Calculus, properties of definite integrals, and advanced evaluation techniques.","Learn, understand, evaluate",Paper 1 (advanced definite integrals),7 / 10,Students should be able to understand and work with advanced definite integrals.
239,AHL 5.16,AHL 5.16b,Integration Applications,Applying definite integrals to solve complex problems.,"Students learn to apply definite integrals to solve complex problems involving area between curves, volume of revolution, arc length, and surface area.","Apply, solve, calculate",Paper 1 (integration applications),7 / 10,Students should be able to apply definite integrals to solve complex problems.
240,AHL 5.16,AHL 5.16c,Advanced Integration Problem Solving,Applying advanced integration concepts to solve complex problems.,"Students learn to apply advanced integration concepts to solve complex problems, choose appropriate techniques, and solve real-world problems.","Apply, choose, solve",Paper 1 (advanced integration problem solving),7 / 10,Students should be able to apply advanced integration concepts to solve complex problems.
241,AHL 5.17,AHL 5.17a,Advanced Integration Techniques,Understanding the most advanced integration techniques and their applications.,"Students learn about the most advanced integration techniques including advanced trigonometric substitutions, integration of rational functions with complex denominators, and other sophisticated methods.","Learn, understand, apply",Paper 1 (most advanced integration),7 / 10,Students should be able to understand and apply the most advanced integration techniques.
242,AHL 5.17,AHL 5.17b,Complex Integration Problems,Solving complex integration problems using multiple techniques.,"Students learn to solve complex integration problems that require multiple techniques, understand when to use each method, and combine techniques effectively.","Solve, understand, combine",Paper 1 (complex integration problems),7 / 10,Students should be able to solve complex integration problems using multiple techniques.
243,AHL 5.17,AHL 5.17c,Advanced Integration Applications,Applying the most advanced integration techniques to solve complex problems.,"Students learn to apply the most advanced integration techniques to solve complex problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (most advanced integration applications),7 / 10,Students should be able to apply the most advanced integration techniques to solve complex problems.
244,AHL 5.18,AHL 5.18a,Introduction to Differential Equations,Understanding differential equations and their basic concepts.,"Students learn about differential equations, understand basic types of differential equations, and learn to solve simple differential equations.","Learn, understand, solve",Paper 1 (differential equations introduction),7 / 10,Students should be able to understand and solve basic differential equations.
245,AHL 5.18,AHL 5.18b,Methods for Solving Differential Equations,Understanding methods for solving differential equations.,"Students learn about various methods for solving differential equations including separation of variables, integrating factors, and other techniques.","Learn, understand, apply",Paper 1 (differential equation methods),7 / 10,Students should be able to understand and apply methods for solving differential equations.
246,AHL 5.18,AHL 5.18c,Applications of Differential Equations,Applying differential equations to solve real-world problems.,"Students learn to apply differential equations to model and solve real-world problems in physics, biology, economics, and other fields.","Apply, model, solve",Paper 1 (differential equation applications),7 / 10,Students should be able to apply differential equations to solve real-world problems.
247,AHL 5.19,AHL 5.19a,Advanced Limit Concepts,Understanding the most advanced limit concepts and techniques.,"Students learn about the most advanced limit concepts including advanced L'Hôpital's rule applications, limits involving infinity, and sophisticated limit evaluation techniques.","Learn, understand, evaluate",Paper 1 (most advanced limits),7 / 10,Students should be able to understand and evaluate the most advanced limit concepts.
248,AHL 5.19,AHL 5.19b,Advanced Calculus Theory,Understanding advanced calculus theory and its applications.,"Students learn about advanced calculus theory including rigorous definitions, advanced theorems, and their applications to complex mathematical problems.","Learn, understand, apply",Paper 1 (advanced calculus theory),7 / 10,Students should be able to understand advanced calculus theory and its applications.
249,AHL 5.19,AHL 5.19c,Advanced Calculus Applications,Applying the most advanced calculus concepts to solve complex problems.,"Students learn to apply the most advanced calculus concepts to solve complex problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (most advanced calculus applications),7 / 10,Students should be able to apply the most advanced calculus concepts to solve complex problems.
