Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
47,SL 1.8,SL 1.8c,Modulus and Series Convergence,Understanding the role of modulus in series convergence criteria.,"Students explore |r| < 1 condition, work with negative ratios, and understand the geometric interpretation of convergence.","Understand, analyze, interpret",Paper 1 (conceptual understanding),5 / 10,Students should be able to understand and apply modulus conditions for series convergence.,formulas,Modulus in Convergence,$$|r| < 1 \text{ means } -1 < r < 1$$ Negative ratio: terms alternate sign but still converge Example: $r = -\frac{1}{2}$: $$1 - \frac{1}{2} + \frac{1}{4} - \frac{1}{8} + \cdots = \frac{1}{1-(-\frac{1}{2})} = \frac{1}{1.5} = \frac{2}{3}$$ Absolute value ensures convergence regardless of sign
49,SL 1.9,SL 1.9a,Introduction to the Binomial Theorem,Understanding the expansion of (a + b)^n for positive integer exponents.,"Students explore Pascal's triangle, understand the pattern of coefficients, and learn the basic binomial expansion formula.","Understand, recognize, apply",Paper 1 (pattern recognition),4 / 10,Students should be able to understand the binomial theorem and recognize its applications.,formulas,Binomial Theorem,$$(a+b)^n = \sum_{k=0}^{n} \binom{n}{k} a^{n-k}b^k$$ where $\binom{n}{k} = \frac{n!}{k!(n-k)!} = {}^nC_k$ Example: $(x+2)^3 = x^3 + 3x^2(2) + 3x(2^2) + 2^3 = x^3 + 6x^2 + 12x + 8$ Coefficients from Pascal's triangle or combination formula
51,SL 1.9,SL 1.9b,Using Pascal's Triangle and Combinations,Applying Pascal's triangle and combination notation to binomial expansions.,"Students learn to use nCr notation, find specific terms in expansions, and connect combinations to binomial coefficients.","Apply, calculate, find",Paper 1 (calculation skills),5 / 10,Students should be able to use Pascal's triangle and combinations to find specific terms in binomial expansions.,formulas,Finding Specific Terms,"General term (k+1)th in $(a+b)^n$: $$T_{k+1} = \binom{n}{k} a^{n-k}b^k$$ Example: Find $x^3$ term in $(2x-1)^5$ Term with $x^3$: $k=3$, so $$T_4 = \binom{5}{3}(2x)^3(-1)^2 = 10 \cdot 8x^3 \cdot 1 = 80x^3$$ Calculator: Use nCr function"
53,SL 1.9,SL 1.9c,Applications of the Binomial Theorem,Applying binomial theorem to solve problems and find specific terms.,"Students solve problems involving binomial expansions, find particular terms, and apply the theorem in various contexts.","Apply, solve, find",Paper 1 (problem solving),6 / 10,Students should be able to apply the binomial theorem to solve problems and find specific terms in expansions.,formulas,Binomial Applications,Finding coefficients: Expand $(1+x)^n$ and identify coefficient of $x^k$: it's $\binom{n}{k}$ Approximations: $(1+x)^n \approx 1 + nx$ for small $x$ Identities: $$(1+1)^n = \sum_{k=0}^n \binom{n}{k} = 2^n$$ $$(1-1)^n = \sum_{k=0}^n (-1)^k\binom{n}{k} = 0$$
55,AHL 1.10,AHL 1.10a,Counting Principles and Permutations,Understanding fundamental counting principles and permutation concepts.,"Students explore the multiplication principle, factorial notation, and calculate permutations for different arrangements.","Count, calculate, arrange",Paper 1 (counting problems),5 / 10,Students should be able to apply counting principles and calculate permutations in various contexts.,formulas,Permutation Formulas,"Multiplication principle: If task 1 has $m$ ways and task 2 has $n$ ways: $m \times n$ total Factorial: $n! = n \times (n-1) \times \cdots \times 2 \times 1$ Permutations: $$P(n,r) = \frac{n!}{(n-r)!} = {}^nP_r$$ Example: Arrange 3 of 5 books: $P(5,3) = \frac{5!}{2!} = 60$"
57,AHL 1.10,AHL 1.10b,Combinations and Selection Problems,Understanding combinations and their applications in selection problems.,"Students learn the difference between permutations and combinations, calculate nCr, and solve selection problems.","Distinguish, calculate, select",Paper 1 (combination problems),6 / 10,Students should be able to distinguish between permutations and combinations and solve selection problems.,formulas,Combination Formula,"$$C(n,r) = \binom{n}{r} = \frac{n!}{r!(n-r)!} = {}^nC_r$$ Properties: $$\binom{n}{r} = \binom{n}{n-r}$$ $$\binom{n}{0} = \binom{n}{n} = 1$$ Example: Choose 3 from 8 students: $$\binom{8}{3} = \frac{8!}{3!5!} = \frac{8 \times 7 \times 6}{3 \times 2 \times 1} = 56$$"
59,AHL 1.10,AHL 1.10c,Extended Binomial Theorem,Extending the binomial theorem to fractional and negative indices.,"Students explore (a + b)^n for n ∈ ℚ, understand convergence conditions, and apply to approximations.","Extend, understand, approximate",Paper 1 (extended applications),7 / 10,Students should be able to apply the extended binomial theorem to fractional and negative indices.,formulas,Extended Binomial Expansion,"For $n \in \mathbb{Q}$, $|x| < 1$: $$(1+x)^n = 1 + nx + \frac{n(n-1)}{2!}x^2 + \frac{n(n-1)(n-2)}{3!}x^3 + \cdots$$ Infinite series! Example: $$(1+x)^{1/2} = 1 + \frac{1}{2}x - \frac{1}{8}x^2 + \frac{1}{16}x^3 - \cdots$$ $$(1+x)^{-1} = 1 - x + x^2 - x^3 + \cdots$$"
61,AHL 1.11,AHL 1.11a,Introduction to Partial Fractions,Understanding the decomposition of rational expressions into partial fractions.,Students learn to express rational functions as sums of simpler fractions with linear denominators.,"Decompose, express, simplify",Paper 1 (algebraic manipulation),6 / 10,Students should be able to decompose rational expressions into partial fractions with linear denominators.,formulas,Partial Fraction Basics,"For proper fraction (degree numerator < denominator): $$\frac{P(x)}{(x-a)(x-b)} = \frac{A}{x-a} + \frac{B}{x-b}$$ If improper: divide first, then decompose remainder Example: $$\frac{5x-1}{(x-2)(x+1)} = \frac{A}{x-2} + \frac{B}{x+1}$$"
63,AHL 1.11,AHL 1.11b,Partial Fractions with Two Linear Terms,Working with partial fractions containing two distinct linear factors.,Students practice decomposing expressions like (2x+1)/((x-1)(x+2)) into A/(x-1) + B/(x+2) form.,"Decompose, solve, verify",Paper 1 (partial fraction decomposition),7 / 10,Students should be able to decompose rational expressions with two linear factors into partial fractions.,formulas,Finding Coefficients,"Method 1 (Cover-up): Multiply both sides by denominator, substitute strategic values Method 2: Equate coefficients Example: $$\frac{7x-1}{(x-2)(x+3)} = \frac{A}{x-2} + \frac{B}{x+3}$$ Multiply by $(x-2)(x+3)$: $7x-1 = A(x+3) + B(x-2)$ Set $x=2$: $13=5A \Rightarrow A=\frac{13}{5}$"
65,AHL 1.11,AHL 1.11c,Applications of Partial Fractions,Applying partial fractions to integration and other mathematical contexts.,Students connect partial fractions to integration techniques and solve problems involving rational function integration.,"Apply, integrate, solve",Paper 1 (integration applications),7 / 10,Students should be able to apply partial fractions to solve integration problems involving rational functions.,formulas,Integration with Partial Fractions,$$\int \frac{1}{x-a}dx = \ln|x-a| + C$$ Strategy: 1. Decompose into partial fractions 2. Integrate each term separately Example: $$\int \frac{5x-1}{(x-2)(x+1)}dx = \int\left(\frac{3}{x-2} + \frac{2}{x+1}\right)dx = 3\ln|x-2| + 2\ln|x+1| + C$$
67,AHL 1.12,AHL 1.12a,Introduction to Complex Numbers,Understanding the imaginary unit i and basic complex number operations.,"Students explore i = √(-1), complex number form a + bi, and basic arithmetic operations with complex numbers.","Understand, operate, represent",Paper 1 (complex arithmetic),5 / 10,Students should be able to perform basic arithmetic operations with complex numbers in Cartesian form.,formulas,Complex Number Basics,"$$i = \sqrt{-1}, \quad i^2 = -1$$ Cartesian form: $z = a + bi$ where $a = \text{Re}(z)$, $b = \text{Im}(z)$ Operations: $$(a+bi) + (c+di) = (a+c) + (b+d)i$$ $$(a+bi)(c+di) = (ac-bd) + (ad+bc)i$$ Powers of $i$: $i^3=-i$, $i^4=1$, cycle repeats"
69,AHL 1.12,AHL 1.12b,Complex Plane and Argand Diagrams,Representing complex numbers geometrically in the complex plane.,"Students plot complex numbers, understand real/imaginary parts, conjugates, and geometric interpretations.","Plot, interpret, visualize",Paper 1 (geometric representation),6 / 10,Students should be able to represent complex numbers geometrically and understand their properties in the complex plane.,formulas,Argand Diagram and Conjugate,"Plot $z = a + bi$ at point $(a, b)$ Horizontal axis: real part Vertical axis: imaginary part Conjugate: $\overline{z} = a - bi$ (reflect over real axis) Properties: $$z + \overline{z} = 2a, \quad z \cdot \overline{z} = a^2 + b^2$$"
71,AHL 1.12,AHL 1.12c,Modulus and Argument of Complex Numbers,Understanding the modulus and argument of complex numbers.,"Students calculate |z| and arg(z), understand their geometric meaning, and connect to vector representations.","Calculate, interpret, connect",Paper 1 (modulus and argument),6 / 10,Students should be able to calculate and interpret the modulus and argument of complex numbers.,formulas,Modulus and Argument,"For $z = a + bi$: Modulus: $$|z| = \sqrt{a^2 + b^2}$$ (distance from origin) Argument: $$\arg(z) = \theta = \tan^{-1}\left(\frac{b}{a}\right)$$ (angle from positive real axis) Note: adjust $\theta$ based on quadrant Example: $z = 1 + i$: $|z| = \sqrt{2}$, $\arg(z) = \frac{\pi}{4}$"
73,AHL 1.13,AHL 1.13a,Polar and Euler Forms of Complex Numbers,"Converting between Cartesian, polar, and Euler forms of complex numbers.","Students learn z = r(cos θ + i sin θ) = r cis θ and z = re^(iθ), understanding the connections between forms.","Convert, represent, understand",Paper 1 (form conversion),6 / 10,"Students should be able to convert complex numbers between Cartesian, polar, and Euler forms.",formulas,Polar and Euler Forms,"Polar (modulus-argument): $$z = r(\cos\theta + i\sin\theta) = r\,\text{cis}\,\theta$$ Euler form: $$z = re^{i\theta}$$ where $r = |z|$, $\theta = \arg(z)$ Convert: Cartesian → Polar: $r = \sqrt{a^2+b^2}$, $\theta = \tan^{-1}(b/a)$ Polar → Cartesian: $a = r\cos\theta$, $b = r\sin\theta$"
75,AHL 1.13,AHL 1.13b,Operations in Different Complex Forms,Performing arithmetic operations in polar and Euler forms.,"Students add, multiply, and divide complex numbers in polar/Euler forms, understanding geometric interpretations.","Operate, interpret, visualize",Paper 1 (complex operations),7 / 10,Students should be able to perform arithmetic operations with complex numbers in polar and Euler forms.,formulas,Polar Form Operations,"Multiplication: $$z_1z_2 = r_1r_2\,\text{cis}(\theta_1 + \theta_2)$$ Division: $$\frac{z_1}{z_2} = \frac{r_1}{r_2}\,\text{cis}(\theta_1 - \theta_2)$$ Powers (De Moivre): $$z^n = r^n\,\text{cis}(n\theta)$$ Add moduli multiply, arguments add! Division: divide moduli, subtract arguments"
77,AHL 1.13,AHL 1.13c,Geometric Interpretation of Complex Operations,Understanding the geometric meaning of complex number operations.,Students explore how multiplication by complex numbers represents rotations and scalings in the complex plane.,"Interpret, visualize, understand",Paper 1 (geometric understanding),7 / 10,Students should be able to interpret complex number operations geometrically in the complex plane.,formulas,Geometric Transformations,"Multiplication by $w = r\,\text{cis}\,\theta$: - Scales by factor $r$ - Rotates by angle $\theta$ Example: Multiply by $i = 1\,\text{cis}\,\frac{\pi}{2}$: rotates 90° counterclockwise Conjugate $\overline{z}$: reflects over real axis Addition: vector addition (parallelogram law)"
79,AHL 1.14,AHL 1.14a,Complex Roots of Polynomial Equations,Understanding complex conjugate roots of polynomials with real coefficients.,Students explore how complex roots occur in conjugate pairs and solve polynomial equations with complex solutions.,"Solve, understand, apply",Paper 1 (polynomial equations),7 / 10,Students should be able to find complex roots of polynomial equations and understand conjugate pair properties.,formulas,Complex Conjugate Root Theorem,"If polynomial has REAL coefficients and $z = a + bi$ is a root, then $\overline{z} = a - bi$ is also a root. Quadratic formula with complex roots: $$x = \frac{-b \pm \sqrt{b^2-4ac}}{2a}$$ If $b^2-4ac < 0$: two complex conjugate roots Example: $x^2 + 2x + 5 = 0$: roots are $-1 \pm 2i$"
81,AHL 1.14,AHL 1.14b,De Moivre's Theorem,Understanding and applying De Moivre's theorem for powers and roots.,Students learn (r cis θ)^n = r^n cis(nθ) and apply it to find powers and roots of complex numbers.,"Apply, calculate, derive",Paper 1 (De Moivre applications),8 / 10,Students should be able to apply De Moivre's theorem to find powers and roots of complex numbers.,formulas,De Moivre's Theorem,"$$[r(\cos\theta + i\sin\theta)]^n = r^n(\cos n\theta + i\sin n\theta)$$ or $$(r\,\text{cis}\,\theta)^n = r^n\,\text{cis}(n\theta)$$ For roots: $n$th roots of $z = r\,\text{cis}\,\theta$: $$z_k = r^{1/n}\,\text{cis}\left(\frac{\theta + 2\pi k}{n}\right), \quad k = 0,1,\ldots,n-1$$"
83,AHL 1.14,AHL 1.14c,Proof by Induction for De Moivre's Theorem,Proving De Moivre's theorem using mathematical induction.,Students develop proof by induction skills while establishing the validity of De Moivre's theorem for positive integers.,"Prove, induct, establish",Paper 1 (proof by induction),8 / 10,Students should be able to prove De Moivre's theorem using mathematical induction.,formulas,Induction Proof Structure,"1. Base case: Show true for $n=1$ 2. Inductive hypothesis: Assume true for $n=k$ 3. Inductive step: Prove true for $n=k+1$ For De Moivre: Assume $(\text{cis}\,\theta)^k = \text{cis}(k\theta)$ Prove: $(\text{cis}\,\theta)^{k+1} = \text{cis}[(k+1)\theta]$ using angle addition formulas"
85,AHL 1.15,AHL 1.15a,Mathematical Induction Fundamentals,Understanding the principle and structure of proof by mathematical induction.,"Students learn the base case, inductive hypothesis, and inductive step, applying to simple mathematical statements.","Understand, apply, prove",Paper 1 (induction basics),7 / 10,Students should be able to understand and apply the basic structure of mathematical induction.,formulas,Induction Template,To prove $P(n)$ for all $n \geq n_0$: 1. **Base case**: Verify $P(n_0)$ is true 2. **Inductive hypothesis**: Assume $P(k)$ is true 3. **Inductive step**: Prove $P(k) \Rightarrow P(k+1)$ Conclusion: $P(n)$ true for all $n \geq n_0$ Example: Prove $\sum_{i=1}^n i = \frac{n(n+1)}{2}$
87,AHL 1.15,AHL 1.15b,Proof by Contradiction,Understanding and applying proof by contradiction techniques.,"Students learn to assume the negation of what they want to prove and derive a contradiction, exploring classic examples.","Assume, derive, contradict",Paper 1 (contradiction proofs),8 / 10,Students should be able to construct proofs by contradiction for various mathematical statements.,formulas,Contradiction Proof Template,"To prove statement $P$: 1. Assume $\neg P$ (not P) is true 2. Use logical deduction 3. Arrive at contradiction (something impossible or contradicting known fact) 4. Conclude $\neg P$ must be false, so $P$ is true Example: Prove $\sqrt{2}$ is irrational. Assume rational: $\sqrt{2} = \frac{p}{q}$ (lowest terms)..."
89,AHL 1.15,AHL 1.15c,Counterexamples and Disproof,Using counterexamples to show that statements are not always true.,Students learn to find specific examples that contradict general statements and explain why they serve as counterexamples.,"Find, explain, disprove",Paper 1 (counterexample construction),7 / 10,Students should be able to construct counterexamples to disprove mathematical statements and explain their validity.,formulas,Disproving Universal Statements,"To disprove: 'For all $x$, $P(x)$ is true' Find ONE example where $P(x)$ is false Example: Claim: $n^2 - n + 41$ is always prime Counterexample: $n=41$: $41^2 - 41 + 41 = 41^2$ (not prime!) One counterexample sufficient to disprove universal claim"
91,AHL 1.16,AHL 1.16a,Systems of Linear Equations,Understanding and solving systems of linear equations with up to three unknowns.,"Students learn to solve systems using algebraic methods and technology, understanding unique solutions, infinite solutions, and no solutions.","Solve, analyze, interpret",Paper 1 (system solving),6 / 10,Students should be able to solve systems of linear equations and interpret the nature of their solutions.,formulas,System of Equations Types,"Two equations, two unknowns: $$\begin{cases} a_1x + b_1y = c_1 \\ a_2x + b_2y = c_2 \end{cases}$$ Solutions: 1. Unique solution (lines intersect at one point) 2. Infinite solutions (same line) 3. No solution (parallel lines) Methods: substitution, elimination, matrices"
93,AHL 1.16,AHL 1.16b,Matrix Methods and Row Reduction,Using matrices and row reduction to solve systems of linear equations.,"Students learn matrix representation of systems, row reduction techniques, and technological methods for solving linear systems.","Represent, reduce, solve",Paper 1 (matrix methods),7 / 10,Students should be able to use matrix methods and row reduction to solve systems of linear equations.,formulas,Augmented Matrix Method,System: $\begin{cases} 2x + y = 5 \\ x - y = 1 \end{cases}$ becomes $$\left[\begin{array}{cc|c} 2 & 1 & 5 \\ 1 & -1 & 1 \end{array}\right]$$ Row operations: 1. Swap rows 2. Multiply row by constant 3. Add multiple of one row to another Goal: Row Echelon Form (REF) or Reduced Row Echelon Form (RREF)
95,AHL 1.16,AHL 1.16c,General Solutions and Inconsistent Systems,Understanding general solutions for systems with infinite solutions and identifying inconsistent systems.,Students learn to find general solutions for systems with infinitely many solutions and recognize when systems have no solutions.,"Find, recognize, interpret",Paper 1 (solution analysis),7 / 10,Students should be able to find general solutions and identify inconsistent systems of linear equations.,formulas,Solution Types in RREF,"Unique solution: each variable has leading 1 Infinite solutions: free variable(s), express in terms of parameter Example: $x + 2y = 3$ → $x = 3 - 2t$, $y = t$ (parameter $t$) Inconsistent (no solution): row like $[0\ 0\ |\ 5]$ (impossible: $0 = 5$)"
97,SL 2.1,SL 2.1a,Equations of Straight Lines,Understanding different forms of linear equations and their applications.,"Students learn y = mx + c, ax + by + d = 0, and y - y₁ = m(x - x₁) forms, connecting to real-world contexts like gradients of roads.","Understand, apply, connect",Paper 1 (linear equations),3 / 10,Students should be able to write equations of straight lines in various forms and apply them to real-world problems.,formulas,Forms of Linear Equations,"Gradient-intercept: $$y = mx + c$$ ($m$ = gradient, $c$ = y-intercept) General form: $$ax + by + d = 0$$ Point-gradient: $$y - y_1 = m(x - x_1)$$ (through point $(x_1, y_1)$) Two-point form: $$\frac{y - y_1}{y_2 - y_1} = \frac{x - x_1}{x_2 - x_1}$$"
99,SL 2.1,SL 2.1b,Gradients and Intercepts,"Understanding and calculating gradients, intercepts, and their geometric meaning.","Students learn to find gradients, x and y intercepts, and understand their significance in linear relationships and real contexts.","Calculate, interpret, apply",Paper 1 (gradient analysis),4 / 10,Students should be able to calculate gradients and intercepts and interpret their meaning in various contexts.,formulas,Gradient and Intercepts,"Gradient (slope): $$m = \frac{y_2 - y_1}{x_2 - x_1} = \frac{\text{rise}}{\text{run}}$$ y-intercept: set $x = 0$, solve for $y$ x-intercept: set $y = 0$, solve for $x$ Example: $2x + 3y = 6$ y-intercept: $(0, 2)$, x-intercept: $(3, 0)$"
101,SL 2.1,SL 2.1c,Parallel and Perpendicular Lines,Understanding the relationships between gradients of parallel and perpendicular lines.,"Students learn m₁ = m₂ for parallel lines and m₁ × m₂ = -1 for perpendicular lines, applying to geometric and real-world problems.","Understand, apply, solve",Paper 1 (line relationships),4 / 10,Students should be able to determine and use relationships between gradients of parallel and perpendicular lines.,formulas,Parallel and Perpendicular Lines,Parallel lines: $$m_1 = m_2$$ (same gradient) Perpendicular lines: $$m_1 \times m_2 = -1$$ (negative reciprocals) Example: Line $y = 2x + 3$ Parallel: $y = 2x - 5$ (same $m=2$) Perpendicular: $y = -\frac{1}{2}x + 1$ ($m = -\frac{1}{2}$)
103,SL 2.2,SL 2.2a,Concept of Functions,Understanding the fundamental concept of functions as mathematical models.,"Students explore function notation f(x), domain, range, and the concept of functions as mappings from inputs to outputs.","Understand, define, represent",Paper 1 (function concepts),3 / 10,Students should be able to understand and represent functions using appropriate notation and identify their domains and ranges.,formulas,Function Notation and Terminology,Function: $f: x \mapsto f(x)$ Each input has exactly ONE output Domain: set of all possible inputs ($x$ values) Range: set of all actual outputs ($f(x)$ values) Notation: $f(x) = x^2 + 1$ means $f: x \mapsto x^2 + 1$ Evaluate: $f(3) = 3^2 + 1 = 10$
105,SL 2.2,SL 2.2b,Inverse Functions,Understanding the concept and properties of inverse functions.,"Students learn about one-to-one functions, inverse notation f⁻¹(x), and the relationship between a function and its inverse.","Understand, find, relate",Paper 1 (inverse functions),4 / 10,Students should be able to understand inverse functions and find inverses of one-to-one functions.,formulas,Finding Inverse Functions,To find $f^{-1}(x)$ from $f(x)$: 1. Write $y = f(x)$ 2. Swap $x$ and $y$ 3. Solve for $y$ 4. Write as $f^{-1}(x)$ Example: $f(x) = 2x + 3$ $y = 2x + 3 \Rightarrow x = 2y + 3 \Rightarrow y = \frac{x-3}{2}$ So $f^{-1}(x) = \frac{x-3}{2}$
107,SL 2.2,SL 2.2c,Graphical Representation of Functions,Understanding how to represent functions graphically and interpret their features.,"Students learn to sketch functions, understand the relationship between f(x) and f⁻¹(x) as reflections in y = x, and interpret graphs.","Sketch, interpret, relate",Paper 1 (graphical representation),4 / 10,Students should be able to sketch functions and understand the graphical relationship between functions and their inverses.,formulas,Graphical Features,"Key features to identify: - Intercepts: where graph crosses axes - Turning points: maxima/minima - Asymptotes: lines graph approaches - Domain/range: extent of graph - Symmetry: reflections or rotations Inverse reflection: swap $x$ and $y$ coordinates, reflect in $y=x$"
109,SL 2.3,SL 2.3a,Graphing Functions and Technology,Using technology to graph functions and understanding the equation y = f(x).,"Students learn to use graphing technology, transfer graphs from screen to paper, and understand the difference between 'draw' and 'sketch'.","Use technology, transfer, understand",Paper 1 (graphing skills),4 / 10,Students should be able to use technology to graph functions and transfer graphical information accurately.,formulas,Using GDC for Graphing,"GDC/calculator steps: 1. Enter function in $y =$ menu 2. Set appropriate window (xmin, xmax, ymin, ymax) 3. Graph and analyze Transfer to paper: identify and label intercepts, turning points, asymptotes 'Sketch' = key features labeled 'Draw' = accurate plot"
111,SL 2.3,SL 2.3b,Creating Sketches from Information,Developing skills to create function sketches from given information or context.,"Students learn to sketch functions from verbal descriptions, context clues, and mathematical information, labeling all key features.","Sketch, label, interpret",Paper 1 (sketching skills),5 / 10,Students should be able to create accurate function sketches from given information and context.,formulas,Sketch Requirements,"Essential labels: - Axes with scales - Intercepts (x and y) - Turning points with coordinates - Asymptotes (dotted lines) - Domain/range if restricted From context: identify type (linear, quadratic, exponential), key features, behavior at boundaries"
113,SL 2.3,SL 2.3c,Graphing Sums and Differences of Functions,Understanding how to graph combinations of functions using technology.,"Students explore how to graph f(x) + g(x) and f(x) - g(x) using technology, understanding the graphical effects of function operations.","Combine, graph, understand",Paper 1 (function combinations),5 / 10,Students should be able to graph sums and differences of functions using appropriate technology.,formulas,Function Arithmetic,"Sum: $(f + g)(x) = f(x) + g(x)$ Difference: $(f - g)(x) = f(x) - g(x)$ On GDC: Graph $y_1 = f(x)$, $y_2 = g(x)$, $y_3 = y_1 + y_2$ Point-wise addition: at each $x$, add/subtract $y$ values Example: If $f(2) = 3$ and $g(2) = 5$, then $(f+g)(2) = 8$"
115,SL 2.4,SL 2.4a,Key Features of Function Graphs,Identifying and analyzing key features of function graphs.,"Students learn to identify maximum/minimum values, intercepts, symmetry, vertices, zeros, and asymptotes using graphing technology.","Identify, analyze, interpret",Paper 1 (graph analysis),5 / 10,Students should be able to identify and interpret key features of function graphs.,formulas,Graph Feature Checklist,"Zeros/roots: where $f(x) = 0$ (x-intercepts) y-intercept: $f(0)$ Maximum: highest point locally or globally Minimum: lowest point locally or globally Vertex: turning point of parabola Asymptotes: $x = a$ (vertical), $y = b$ (horizontal) Symmetry: even ($f(-x) = f(x)$), odd ($f(-x) = -f(x)$)"
117,SL 2.4,SL 2.4b,Intersection Points and Technology,Finding points of intersection between curves and lines using technology.,"Students learn to use technology to find intersection points, understanding the graphical and algebraic significance of these points.","Find, interpret, connect",Paper 1 (intersection analysis),5 / 10,Students should be able to find intersection points using technology and interpret their meaning.,formulas,Finding Intersections,"Algebraically: Solve $f(x) = g(x)$ Technology: Graph both, use 'intersect' function Example: Find where $x^2 = 2x + 3$ Graph $y_1 = x^2$ and $y_2 = 2x + 3$ Intersections: $x = 3$ and $x = -1$ Solutions to equation!"
119,SL 2.4,SL 2.4c,Asymptotes and Graph Behavior,Understanding vertical and horizontal asymptotes and their graphical significance.,"Students learn to identify asymptotes using graphing technology, understanding how they affect the behavior of functions.","Identify, understand, analyze",Paper 1 (asymptote analysis),6 / 10,Students should be able to identify and understand the significance of asymptotes in function graphs.,formulas,Types of Asymptotes,"Vertical asymptote: $x = a$ Function undefined at $x = a$, $f(x) \to \pm\infty$ Example: $f(x) = \frac{1}{x-2}$ has $x = 2$ Horizontal asymptote: $y = b$ As $x \to \pm\infty$, $f(x) \to b$ Example: $f(x) = \frac{2x}{x+1}$ has $y = 2$"
121,SL 2.5,SL 2.5a,Composite Functions,Understanding and working with composite functions f ∘ g(x) = f(g(x)).,"Students learn to compose functions, understand the order of operations, and work with composite function notation.","Compose, understand, apply",Paper 1 (function composition),5 / 10,Students should be able to compose functions and understand the notation and order of operations.,formulas,Composite Function Notation,"$$(f \circ g)(x) = f(g(x))$$ Apply $g$ first, then $f$ to the result Example: If $f(x) = x^2$ and $g(x) = x + 1$ $$(f \circ g)(x) = f(x+1) = (x+1)^2$$ $$(g \circ f)(x) = g(x^2) = x^2 + 1$$ Note: $f \circ g \neq g \circ f$ in general!"
123,SL 2.5,SL 2.5b,Identity Function and Function Properties,Understanding the identity function and its role in function operations.,"Students explore the identity function f(x) = x, understand f ∘ f⁻¹(x) = f⁻¹ ∘ f(x) = x, and work with function properties.","Understand, explore, apply",Paper 1 (function properties),5 / 10,Students should be able to understand the identity function and its role in function operations.,formulas,Identity Function,Identity function: $$I(x) = x$$ Returns input unchanged Key property with inverses: $$f \circ f^{-1} = I \quad \text{and} \quad f^{-1} \circ f = I$$ Meaning: $$f(f^{-1}(x)) = x \quad \text{and} \quad f^{-1}(f(x)) = x$$
125,SL 2.5,SL 2.5c,Existence of Inverse Functions,Understanding when inverse functions exist and their properties.,"Students learn about one-to-one functions, the conditions for inverse existence, and how to determine if a function has an inverse.","Understand, determine, analyze",Paper 1 (inverse existence),6 / 10,Students should be able to determine when functions have inverses and understand the conditions for inverse existence.,formulas,Conditions for Inverse Existence,"Function $f$ has inverse if and only if it's one-to-one (injective) Test: Horizontal line test - no horizontal line crosses graph more than once If $f(a) = f(b) \Rightarrow a = b$, then $f$ is one-to-one Domain restrictions: restrict to make one-to-one Example: $f(x) = x^2$ for $x \geq 0$ has inverse $f^{-1}(x) = \sqrt{x}$"
127,SL 2.6,SL 2.6a,Quadratic Functions and Their Graphs,Understanding the properties and graphs of quadratic functions.,"Students explore f(x) = ax² + bx + c, learn about parabolas, y-intercepts, and axis of symmetry in quadratic functions.","Understand, graph, analyze",Paper 1 (quadratic functions),4 / 10,Students should be able to understand and graph quadratic functions and identify their key properties.,formulas,Quadratic Function Basics,Standard form: $$f(x) = ax^2 + bx + c$$ Shape: parabola $a > 0$: opens upward (minimum) $a < 0$: opens downward (maximum) y-intercept: $c$ (when $x = 0$) Axis of symmetry: $$x = -\frac{b}{2a}$$
129,SL 2.6,SL 2.6b,Forms of Quadratic Functions,Working with different forms of quadratic functions and their applications.,"Students learn f(x) = a(x-p)(x-q) for x-intercepts and f(x) = a(x-h)² + k for vertex form, converting between forms.","Convert, apply, understand",Paper 1 (quadratic forms),5 / 10,Students should be able to work with different forms of quadratic functions and convert between them.,formulas,Three Forms of Quadratics,"Standard: $f(x) = ax^2 + bx + c$ Factored: $f(x) = a(x - p)(x - q)$ (roots $p$ and $q$) Vertex: $f(x) = a(x - h)^2 + k$ (vertex $(h, k)$) Convert standard to vertex: Complete the square Example: $x^2 + 6x + 5 = (x + 3)^2 - 4$ Vertex: $(-3, -4)$"
131,SL 2.6,SL 2.6c,Vertex and Axis of Symmetry,Understanding the vertex and axis of symmetry in quadratic functions.,"Students learn to find vertices (h,k) from vertex form, understand the axis of symmetry x = h, and connect to real-world applications.","Find, understand, apply",Paper 1 (vertex analysis),5 / 10,Students should be able to find vertices and axes of symmetry of quadratic functions.,formulas,Vertex and Symmetry Formulas,"Vertex form: $f(x) = a(x - h)^2 + k$ Vertex: $(h, k)$ Axis of symmetry: $x = h$ From standard form $ax^2 + bx + c$: $$x = -\frac{b}{2a} \text{ (axis)}$$ $$y = f\left(-\frac{b}{2a}\right) \text{ (vertex y-coordinate)}$$ Example: $f(x) = 2x^2 - 8x + 3$ → vertex at $(2, -5)$"
